iter	Passed	Remaining
0	31	31834
1	65	32783
2	95	31886
3	122	30556
4	148	29601
5	180	29952
6	206	29248
7	228	28292
8	249	27507
9	271	26836
10	295	26586
11	318	26206
12	341	25920
13	362	25552
14	384	25222
15	405	24915
16	434	25151
17	455	24853
18	478	24684
19	499	24455
20	521	24309
21	541	24060
22	562	23882
23	583	23729
24	610	23827
25	636	23827
26	663	23901
27	686	23834
28	709	23751
29	734	23734
30	756	23652
31	777	23524
32	797	23374
33	818	23263
34	839	23151
35	862	23089
36	883	22984
37	902	22847
38	925	22810
39	946	22713
40	968	22641
41	988	22540
42	1009	22471
43	1029	22376
44	1054	22373
45	1082	22452
46	1108	22469
47	1135	22519
48	1166	22649
49	1190	22624
50	1214	22595
51	1244	22693
52	1270	22695
53	1291	22620
54	1317	22645
55	1341	22607
56	1365	22598
57	1389	22563
58	1407	22453
59	1428	22376
60	1448	22300
61	1470	22252
62	1492	22193
63	1511	22101
64	1531	22028
65	1549	21931
66	1572	21902
67	1596	21879
68	1616	21813
69	1641	21805
70	1666	21800
71	1692	21812
72	1713	21756
73	1737	21741
74	1755	21655
75	1778	21628
76	1800	21584
77	1822	21540
78	1843	21492
79	1864	21437
80	1884	21376
81	1902	21301
82	1925	21274
83	1944	21199
84	1966	21167
85	1983	21076
86	2003	21024
87	2023	20969
88	2044	20926
89	2065	20882
90	2083	20807
91	2103	20763
92	2121	20688
93	2140	20634
94	2157	20553
95	2180	20534
96	2200	20488
97	2218	20421
98	2238	20373
99	2257	20319
100	2274	20249
101	2292	20181
102	2314	20154
103	2332	20093
104	2352	20048
105	2371	20001
106	2389	19944
107	2412	19927
108	2437	19924
109	2457	19880
110	2476	19832
111	2497	19799
112	2519	19779
113	2546	19787
114	2568	19764
115	2591	19748
116	2614	19735
117	2638	19724
118	2663	19716
119	2687	19710
120	2711	19696
121	2735	19685
122	2760	19683
123	2782	19659
124	2802	19619
125	2823	19583
126	2844	19550
127	2866	19528
128	2885	19481
129	2904	19437
130	2925	19409
131	2947	19379
132	2965	19334
133	2985	19294
134	3005	19259
135	3024	19212
136	3045	19183
137	3065	19148
138	3080	19084
139	3101	19052
140	3120	19012
141	3143	18993
142	3162	18953
143	3182	18919
144	3201	18875
145	3222	18849
146	3242	18813
147	3262	18781
148	3281	18743
149	3299	18694
150	3316	18644
151	3337	18619
152	3359	18596
153	3382	18581
154	3410	18590
155	3433	18575
156	3460	18581
157	3483	18566
158	3508	18558
159	3532	18545
160	3561	18557
161	3593	18586
162	3627	18628
163	3658	18648
164	3700	18725
165	3730	18741
166	3759	18751
167	3793	18788
168	3819	18780
169	3845	18774
170	3872	18775
171	3903	18791
172	3935	18815
173	3964	18822
174	3991	18819
175	4021	18827
176	4047	18819
177	4075	18822
178	4102	18818
179	4123	18785
180	4144	18751
181	4170	18743
182	4203	18766
183	4232	18768
184	4259	18763
185	4287	18762
186	4318	18775
187	4348	18782
188	4376	18777
189	4403	18771
190	4435	18786
191	4466	18795
192	4500	18819
193	4532	18831
194	4573	18880
195	4615	18931
196	4652	18963
197	4686	18983
198	4716	18984
199	4743	18975
200	4771	18966
201	4800	18962
202	4829	18960
203	4858	18959
204	4889	18963
205	4917	18953
206	4945	18946
207	4969	18924
208	5000	18924
209	5030	18924
210	5063	18935
211	5093	18933
212	5124	18935
213	5152	18925
214	5181	18916
215	5210	18913
216	5243	18920
217	5271	18908
218	5299	18898
219	5326	18884
220	5356	18880
221	5387	18881
222	5417	18875
223	5446	18868
224	5479	18872
225	5508	18864
226	5538	18859
227	5562	18835
228	5591	18826
229	5617	18807
230	5649	18806
231	5680	18804
232	5707	18789
233	5740	18791
234	5767	18775
235	5794	18759
236	5825	18753
237	5853	18741
238	5882	18730
239	5912	18723
240	5940	18709
241	5969	18696
242	5998	18686
243	6027	18674
244	6057	18667
245	6086	18656
246	6110	18629
247	6136	18606
248	6163	18588
249	6189	18567
250	6221	18564
251	6251	18554
252	6276	18532
253	6303	18514
254	6337	18516
255	6367	18505
256	6399	18500
257	6434	18505
258	6463	18491
259	6493	18481
260	6521	18466
261	6553	18460
262	6585	18455
263	6618	18452
264	6649	18443
265	6680	18434
266	6705	18407
267	6733	18391
268	6760	18371
269	6786	18348
270	6812	18325
271	6842	18313
272	6872	18302
273	6899	18280
274	6926	18260
275	6952	18236
276	6980	18218
277	7014	18217
278	7039	18192
279	7066	18171
280	7094	18152
281	7118	18124
282	7145	18102
283	7173	18084
284	7203	18071
285	7238	18070
286	7269	18058
287	7297	18041
288	7322	18014
289	7347	17988
290	7374	17968
291	7399	17940
292	7425	17917
293	7455	17903
294	7481	17880
295	7511	17866
296	7540	17848
297	7567	17827
298	7597	17811
299	7621	17783
300	7651	17768
301	7679	17750
302	7712	17741
303	7738	17718
304	7766	17696
305	7799	17688
306	7826	17666
307	7853	17645
308	7881	17624
309	7907	17599
310	7936	17582
311	7961	17556
312	7990	17537
313	8021	17525
314	8057	17521
315	8085	17501
316	8111	17475
317	8137	17452
318	8161	17422
319	8190	17403
320	8214	17374
321	8245	17361
322	8279	17354
323	8307	17332
324	8337	17317
325	8366	17298
326	8393	17274
327	8422	17255
328	8455	17245
329	8484	17226
330	8511	17203
331	8540	17183
332	8567	17161
333	8591	17131
334	8619	17110
335	8643	17080
336	8671	17060
337	8699	17039
338	8725	17014
339	8752	16990
340	8778	16964
341	8807	16944
342	8833	16919
343	8859	16894
344	8888	16875
345	8914	16849
346	8939	16823
347	8967	16801
348	8995	16780
349	9019	16751
350	9047	16729
351	9078	16712
352	9104	16687
